seq_length,hidden_size,dropout,lr,batch_size,num_layers,train_rmse,test_rmse,rmse_gap,test_pred_std,test_actual_std,test_std_ratio,county
9,16,0.2,0.0001,4,2,9.237288505192485,1.4401192278227926,-7.797169277369692,0.2860835872065897,1.7517647756513988,0.16331164502392093,Kern
9,8,0.1,0.0005,8,1,9.704256621969112,1.4646497315014484,-8.239606890467662,0.27840400567405094,1.7517647756513988,0.15892773364536092,Kern
9,8,0.3,0.001,4,1,4.909365485021412,1.4812799512167756,-3.4280855338046363,1.3451348798175764,1.7517647756513988,0.7678741452700943,Kern
6,8,0.1,0.001,4,1,5.7313452659556425,1.4851302720984834,-4.246214993857159,4.87821498221678,4.662766479788639,1.0462061532272806,Kern
9,16,0.3,0.0001,4,1,10.090026289054556,1.4929620966928665,-8.597064192361689,0.36031879651166376,1.7517647756513988,0.2056890294404271,Kern
9,16,0.0,0.0001,8,2,10.44057742979129,1.4931567186485046,-8.947420711142785,0.7763600493372055,1.7517647756513988,0.44318738458964263,Kern
9,8,0.3,0.001,8,1,6.1352861081112895,1.5037212202135755,-4.631564887897714,1.0685947345243612,1.7517647756513988,0.6100104017258831,Kern
9,64,0.2,0.0001,8,2,9.179939056215774,1.5061895093603888,-7.673749546855386,0.47522023262094004,1.7517647756513988,0.2712808473068127,Kern
12,32,0.3,0.005,4,1,1.993912174203239,1.510696989121611,-0.483215185081628,2.061782537372451,0.3211675795005199,6.419647152987662,Kern
9,32,0.2,0.0001,4,1,9.142208989044601,1.5137154517730833,-7.628493537271518,0.3915783544551528,1.7517647756513988,0.22353363870417092,Kern
9,8,0.3,0.0001,4,1,11.123623808307912,1.5184902000816622,-9.60513360822625,0.5129674284237573,1.7517647756513988,0.2928289434481915,Kern
9,16,0.4,0.0001,4,1,10.726097702605719,1.5238495235660825,-9.202248179039636,0.11190215318526425,1.7517647756513988,0.06387966851522808,Kern
12,64,0.0,0.0001,8,2,7.514352687091179,1.5283042364230144,-5.986048450668164,0.19206286505142026,0.3211675795005199,0.5980144862383575,Kern
12,8,0.1,0.005,6,1,3.4478791976630094,1.5416764469097577,-1.9062027507532517,1.480094128107265,0.3211675795005199,4.608479256869915,Kern
9,64,0.0,0.0001,8,2,9.060574244243432,1.5525307361137668,-7.508043508129665,0.5345324276192065,1.7517647756513988,0.30513938574911637,Kern
9,32,0.3,0.0001,4,2,8.622911739484561,1.5560935269736513,-7.06681821251091,0.3518090357200587,1.7517647756513988,0.20083120782539854,Kern
9,32,0.4,0.0001,8,1,10.57164107940816,1.5581839969020452,-9.013457082506115,0.8369240130299713,1.7517647756513988,0.47776049881968813,Kern
9,16,0.4,0.001,4,1,5.973647630625623,1.5776453974367233,-4.3960022331889,0.8778582497873171,1.7517647756513988,0.5011279265281967,Kern
9,16,0.1,0.001,4,2,3.8576838268119498,1.579189913472267,-2.278493913339683,1.8122687160684492,1.7517647756513988,1.0345388497691146,Kern
12,32,0.2,0.0001,8,2,10.047871453049256,1.595800424869257,-8.452071028179999,0.38013713235034186,0.3211675795005199,1.1836099177305863,Kern
